,location,total_sqft,bath,balcony,price,bhk
3198,Bannerghatta,1665.0,3.0,3,11000000.0,3.0
3199,"Hoodi Circle,",1234.0,2.0,1,6100000.0,2.0
3200,Mysore Road,1340.0,2.0,2,6431000.0,3.0
3201,Banashankari,1170.0,2.0,2,4679000.0,2.0
3202,Electronics City Phase 1,995.0,2.0,0,4600000.0,2.0
3203,Old Airport Road,1075.0,2.0,2,6000000.0,2.0
3204,Electronic City,1025.0,2.0,1,5450000.0,2.0
3205,Rachenahalli,2721.0,3.0,2,11300000.0,3.0
3206,Thanisandra,2000.0,3.0,2,9900000.0,3.0
3207,Whitefield,2500.0,4.0,3,15500000.0,4.0
3208,Mallasandra,1325.0,2.0,2,7000000.0,2.0
3209,Kadugodi,1314.0,2.0,3,6820000.0,2.0
3210,Kanakpura Road,2265.0,3.0,2,13600000.0,3.0
3211,7th Phase JP Nagar,4800.0,7.0,0,17000000.0,7.0
3212,Yelahanka,1026.0,2.0,1,4100000.0,2.0
3213,Syndicate Bank Colony,1200.0,3.0,2,6600000.0,3.0
3214,Kada Agrahara,2220.0,4.0,2,6500000.0,3.0
3215,KR Puram,1070.0,2.0,0,5122000.0,2.0
3216,Hebbal,1420.0,2.0,1,9939000.0,2.0
3217,Sarjapur  Road,1888.0,4.0,1,9500000.0,3.0
3218,JP Nagar,1300.0,2.0,1,9087000.0,2.0
3219,Rajaji Nagar,1216.0,2.0,0,9716000.0,2.0
3220,"Off Sarjapur road,",3000.0,4.0,3,34200000.0,4.0
3221,Begur,1559.0,3.0,2,6300000.0,3.0
3222,Harlur,1290.0,2.0,1,8700000.0,2.0
3223,M C Layout,2400.0,6.0,1,24500000.0,6.0
3224,Whitefield,905.0,1.0,1,5500000.0,1.0
3225,Nanjappa Layout,1069.0,2.0,1,5500000.0,2.0
3226,Sarjapura - Attibele Road,829.0,2.0,1,2280000.0,2.0
3227,Koramangala,1900.0,2.0,1,20000000.0,2.0
3228,Dodda Banaswadi,3040.0,5.0,1,14000000.0,5.0
3229,Sarjapur  Road,1300.0,3.0,2,6000000.0,3.0
3230,Channasandra,1115.0,2.0,1,3345000.0000000005,2.0
3231,Rajaji Nagar,2409.0,3.0,2,36000000.0,3.0
3232,Ambedkar Nagar,2150.0,4.0,2,12500000.0,3.0
3233,Marathahalli,1305.0,2.0,1,6900000.0,3.0
3234,Kanakpura Road,1252.0,2.0,1,5632000.0,2.0
3235,Hosakerehalli,2400.0,5.0,1,25000000.0,5.0
3236,Whitefield,1200.0,2.0,1,4613000.0,2.0
3237,Koramangala,1750.0,3.0,1,13000000.0,3.0
3238,Electronic City Phase II,545.0,1.0,1,3500000.0,2.0
3239,BEL Layout,1375.0,2.0,1,10500000.0,2.0
3240,Subramanyapura,1313.0,2.0,2,6650000.0,2.0
3241,Attibele,3640.0,4.0,1,27500000.0,4.0
3242,Akshayanagara East,1693.0,3.0,2,10800000.0,3.0
3243,JCR Layout,1160.0,2.0,1,4175000.0,2.0
3244,Sri Kanteshwara Nagar,1200.0,3.0,0,20000000.0,3.0
3245,Subramanyapura,1255.0,2.0,2,7900000.0,3.0
3246,KR Puram,1000.0,4.0,1,7500000.0,4.0
3247,Bellari Road,900.0,2.0,1,4500000.0,2.0
3248,Yelahanka New Town,1700.0,3.0,2,9000000.0,3.0
3249,Indira Nagar,1875.0,3.0,1,18000000.0,3.0
3250,Uttarahalli,1700.0,3.0,2,8800000.0,3.0
3251,Harlur,1749.0,3.0,2,11500000.0,3.0
3252,Dasanapura,1500.0,3.0,1,6500000.0,2.0
3253,Varanasi,1175.0,2.0,1,4800000.0,2.0
3254,Akshaya Nagar,1280.0,2.0,1,6000000.0,2.0
3255,Abbaiah Reddy Layout,1200.0,2.0,2,5000000.0,2.0
3256,Ramagondanahalli,1610.0,2.0,2,11500000.0,3.0
3257,Electronic City,1070.0,2.0,1,4600000.0,2.0
3258,TC Palaya,1200.0,2.0,0,6600000.0,2.0
3259,9th Phase JP Nagar,1127.0,2.0,1,5000000.0,2.0
3260,Indira Nagar,1210.0,2.0,1,10200000.0,2.0
3261,Jyothi Nagar,600.0,2.0,1,2300000.0,2.0
3262,Thigalarapalya,4190.0,4.0,3,38000000.0,4.0
3263,Tata Nagar,1364.0,2.0,2,7000000.0,2.0
3264,Whitefield,2268.0,3.0,0,14600000.0,4.0
3265,RK Layout 2nd Stage,1150.0,2.0,2,7750000.0,3.0
3266,Tirumanahalli,1146.0,2.0,1,3950000.0,2.0
3267,Magadi Road,1345.0,2.0,2,5500000.0,2.0
3268,Mylasandra,1110.0,2.0,2,4100000.0,2.0
3269,Kengeri,750.0,2.0,1,3600000.0,2.0
3270,Motappa Layout,1156.0,2.0,2,4950000.0,2.0
3271,Pattandur Agrahara,1247.0,2.0,1,5980000.0,2.0
3272,Mangammanapalya,1058.0,2.0,2,6000000.0,2.0
3273,Kaggalipura,950.0,2.0,1,4800000.0,2.0
3274,Vasanthapura,420.0,2.0,0,3500000.0,2.0
3275,BTM 1st Stage,600.0,2.0,2,9000000.0,4.0
3276,Vijayanagar,1520.0,2.0,1,10300000.0,3.0
3277,Marathahalli,1215.0,2.0,2,5886000.0,2.0
3278,Raghuvanahalli,900.0,1.0,1,3000000.0,1.0
3279,Hennur Road,2350.0,3.0,2,17400000.0,3.0
3280,Thanisandra,1050.0,2.0,2,4600000.0,2.0
3281,Devarabeesana Halli,1672.0,3.0,2,15000000.0,3.0
3282,Laggere,2800.0,5.0,2,12500000.0,5.0
3283,MCECHS  layout,1500.0,2.0,2,6500000.0,3.0
3284,Geddalahalli,1400.0,2.0,2,6500000.0,2.0
3285,Whitefield,500.0,4.0,2,37800000.0,4.0
3286,8th Phase JP Nagar,2700.0,4.0,2,13000000.0,4.0
3287,Bommasandra,920.0,2.0,1,3746000.0,2.0
3288,Sarjapur  Road,1200.0,3.0,2,7000000.0,3.0
3289,Brindavan Nagar,1250.0,3.0,2,13900000.0,3.0
3290,Hosakerehalli,1817.0,4.0,1,15300000.0,3.0
3291,Cooke Town,2043.0,6.0,1,37500000.0,5.0
3292,HSR Layout,1140.0,2.0,2,4600000.0,2.0
3293,Yelahanka,4346.0,4.0,1,45000000.0,4.0
3294,Haralur Road,1464.0,2.0,2,5600000.0,2.0
3295,Ambedkar Colony,1468.0,3.0,2,13000000.0,2.0
3296,Electronics City Phase 1,1555.0,2.0,1,8200000.0,3.0
3297,Munnekollal,1200.0,4.0,2,11000000.0,6.0
3298,Whitefield,1150.0,2.0,0,5500000.0,2.0
3299,Kadubeesanahalli,970.0,2.0,1,3500000.0,2.0
3300,Banashankari,2500.0,4.0,3,9500000.0,4.0
3301,Seetharampalya,1166.0,2.0,1,5300000.0,2.0
3302,Konanakunte,2779.0,3.0,1,31700000.0,3.0
3303,Electronic City,1350.0,3.0,2,5800000.0,3.0
3304,Mariyannapalya,900.0,2.0,3,4600000.0,2.0
3305,7th Phase JP Nagar,1300.0,2.0,2,5200000.0,3.0
3306,Kanaka Nagar,1190.0,3.0,1,5500000.0,3.0
3307,Kodichikkanahalli,1495.0,2.0,2,7500000.0,3.0
3308,Indira Nagar,1224.0,2.0,2,10500000.0,2.0
3309,Banashankari Stage III,1350.0,2.0,2,6800000.0,3.0
3310,Green Glen Layout,940.0,2.0,1,5680000.0,2.0
3311,Raja Rajeshwari Nagar,1100.0,2.0,1,5500000.0,2.0
3312,Kaikondrahalli,1300.0,2.0,2,6100000.0,2.0
3313,Palace Road,1480.0,2.0,0,14500000.0,3.0
3314,Hoodi,1105.0,2.0,2,4637000.0,2.0
3315,Sarjapur  Road,2600.0,3.0,2,20000000.0,3.0
3316,Yelahanka,1517.0,3.0,2,7630000.0,3.0
3317,Horamavu Banaswadi,3800.0,8.0,0,20000000.0,6.0
3318,Jalahalli,1615.0,3.0,2,8975000.0,3.0
3319,MCECHS  layout,1500.0,3.0,2,6500000.0,3.0
3320,Mysore Road,1082.0,3.0,1,5050000.0,3.0
3321,Marathahalli,1365.0,2.0,2,7300000.0,2.0
3322,Electronic City,1000.0,2.0,3,2500000.0,2.0
3323,CV Raman Nagar,1392.0,2.0,1,9800000.0,2.0
3324,Kodigehalli,1086.0,2.0,1,3365999.9999999995,2.0
3325,Hennur Road,1586.0,3.0,3,9394000.0,3.0
3326,Hennur,1100.0,2.0,1,6000000.0,2.0
3327,Electronic City Phase II,1065.0,2.0,1,3075000.0,2.0
3328,TC Palaya,1500.0,2.0,1,12000000.0,3.0
3329,7th Phase JP Nagar,1575.0,2.0,2,12000000.0,3.0
3330,Hennur Road,1975.0,3.0,3,12300000.0,3.0
3331,Nelamangala,820.0,2.0,2,2400000.0,2.0
3332,Gubbalala,1745.0,3.0,2,11000000.0,3.0
3333,Nagarbhavi,1223.0,2.0,1,6000000.0,2.0
3334,Ananth Nagar,1200.0,2.0,1,6500000.0,3.0
3335,Basaveshwara Nagar,1200.0,2.0,0,9000000.0,2.0
3336,Binny Pete,665.0,1.0,1,4608000.0,1.0
3337,Bharathi Nagar,1351.0,2.0,2,7000000.0,2.0
3338,Hebbal,1355.0,3.0,1,8387000.0,3.0
3339,Sector 7 HSR Layout,3900.0,3.0,2,30000000.0,3.0
3340,Thanisandra,1588.0,3.0,1,7555000.0,3.0
3341,Amruthahalli,900.0,2.0,1,6000000.0,2.0
3342,Bhuvaneshwari Nagar,440.0,3.0,0,5000000.0,3.0
3343,Harlur,3385.0,4.0,1,26000000.0,4.0
3344,Panathur,1370.0,2.0,2,7500000.0,3.0
3345,Whitefield,1500.0,3.0,1,7180000.0,3.0
3346,Pulikeshi Nagar,2280.0,3.0,1,28500000.0,3.0
3347,Kanakpura Road,1100.0,3.0,2,5300000.0,3.0
3348,Hoodi,1247.0,2.0,0,5300000.0,2.0
3349,Domlur Layout,2000.0,3.0,2,20000000.0,3.0
3350,Balagere,1020.07,2.0,1,6838000.0,2.0
3351,Gunjur Palya,1033.0,2.0,2,3200000.0,3.0
3352,B Narayanapura,1460.0,2.0,3,7300000.0,3.0
3353,Garudachar Palya,1150.0,2.0,2,5280000.0,2.0
3354,Sarjapur  Road,5965.0,5.0,1,38500000.0,5.0
3355,Babusapalaya,1141.0,2.0,1,4600000.0,2.0
3356,Yelahanka,2806.0,6.0,0,12550000.0,4.0
3357,Doddaballapur,4200.0,4.0,3,32500000.0,4.0
3358,Hosa Road,1665.0,2.0,3,12500000.0,3.0
3359,Kanakapura,1295.0,2.0,2,6400000.0,2.0
3360,Haralur Road,1230.0,2.0,1,7800000.0,2.0
3361,Anand Nagar,1080.0,2.0,2,7500000.0,3.0
3362,Kaggalipura,1000.0,2.0,1,6000000.0,2.0
3363,Kaval Byrasandra,2400.0,2.0,0,5000000.0,3.0
3364,Whitefield,613.0,1.0,0,3279000.0,1.0
3365,Rayasandra,1708.0,3.0,2,7500000.0,3.0
3366,Thanisandra,1697.0,3.0,2,11500000.0,3.0
3367,Whitefield,3537.0,5.0,3,21000000.0,4.0
3368,Hosa Road,615.0,1.0,1,2829000.0,1.0
3369,Banashankari,1350.0,2.0,0,8300000.0,3.0
3370,Kanakpura Road,1430.0,2.6926096474673513,1,6640000.000000001,3.0
3371,Jalahalli,1083.0,2.0,1,3249000.0,2.0
3372,Gottigere,1460.0,2.0,2,6500000.0,3.0
3373,Babusapalaya,1084.0,2.0,1,5800000.0,2.0
3374,Bommasandra,1035.0,2.0,1,4143000.0,2.0
3375,Vijaya Bank Layout,2400.0,2.0,1,15000000.0,3.0
3376,Hosur Road,460.0,1.0,1,2100000.0,1.0
3377,Narayanappa Layout,950.0,5.0,1,9000000.0,5.0
3378,Whitefield,1285.0,2.0,2,5590000.0,2.0
3379,1Hanuman Nagar,2000.0,1.6,1,49000000.0,1.9
3380,Sarjapur,1200.0,3.0,2,7800000.0,3.0
3381,Raghuvanahalli,1070.0,2.0,1,3500000.0,2.0
3382,Hegde Nagar,1801.0,3.0,2,14000000.0,3.0
3383,Whitefield,1697.0,3.0,2,11500000.0,3.0
3384,AECS Layout,1199.0,2.0,2,6500000.0,2.0
3385,Iblur Village,2300.0,3.0,1,22000000.0,3.0
3386,Mysore Road,1340.0,2.0,3,6431000.0,3.0
3387,Marathahalli,3800.0,4.0,3,20500000.0,4.0
3388,Jigani,600.0,5.0,1,5000000.0,5.0
3389,Wilson Garden,1125.0,2.0,1,7500000.0,2.0
3390,Anandapura,1200.0,2.0,1,6700000.0,2.0
3391,Subramanyapura,1050.0,2.0,3,4100000.0,2.0
3392,Nagarbhavi,956.0,2.0,1,4900000.0,2.0
3393,Sarjapur,1000.0,2.0,2,3000000.0,2.0
3394,Dooravani Nagar,1596.0,3.0,0,9500000.0,3.0
3395,Kumbhena Agrahara,1200.0,5.0,1,15000000.0,6.0
3396,Kanakpura Road,1296.0,2.0,3,8906000.0,2.0
3397,NS Palya,1200.0,7.0,1,17000000.0,6.0
3398,Challaghatta,1639.0,3.0,3,12300000.0,3.0
3399,Electronic City Phase II,1219.0,2.0,1,6125000.0,2.0
3400,Uttarahalli,1200.0,3.0,1,5000000.0,3.0
3401,Bannerghatta Road,1218.0,2.0,1,7300000.0,2.0
3402,Nyanappana Halli,920.0,2.0,3,3700000.0,2.0
3403,Yeshwanthpur,2559.0,3.0,2,14100000.0,3.0
3404,2nd Phase Judicial Layout,525.0,1.0,1,2600000.0,1.0
3405,Bannerghatta Road,1427.0,2.0,2,4851000.0,3.0
3406,Kothannur,1270.0,3.0,2,4500000.0,3.0
3407,Ramagondanahalli,920.0,2.0,3,6500000.0,2.0
3408,Dommasandra,2700.0,3.0,2,6800000.0,4.0
3409,Indira Nagar 3rd Stage,1740.0,3.0,2,19900000.0,3.0
3410,Ramamurthy Nagar,1355.0,2.0,1,4000000.0,3.0
3411,Lingadheeranahalli,1530.0,2.0,2,9000000.0,3.0
3412,Gokula Extension,1372.0,2.0,1,9000000.0,3.0
3413,Nehru Nagar,2363.0,5.0,2,12000000.0,4.0
3414,Marathahalli,3895.0,4.0,3,22000000.0,4.0
3415,Jakkur,1950.0,3.0,2,13100000.0,3.0
3416,Hoysalanagar,885.0,2.0,3,4000000.0,2.0
3417,Yelahanka,600.0,2.0,2,2700000.0,2.0
3418,Kumaraswami Layout,1270.0,4.0,1,12800000.0,5.0
3419,Vijayanagar,1380.0,2.0,0,22500000.0,2.0
3420,Kanakpura Road,1339.0,2.0,2,6200000.0,2.0
3421,Whitefield,1130.0,2.0,1,3600000.0,2.0
3422,Uttarahalli,1085.0,2.0,2,4300000.0,2.0
3423,Yeshwanthpur,1430.0,3.0,2,7200000.0,3.0
3424,Bhoganhalli,1451.5,4.0,1,12100000.0,4.0
3425,Ramakrishnappa Layout,6200.0,5.0,1,72000000.0,5.0
3426,AGS Layout,1490.0,2.0,1,5960000.0,3.0
3427,Vishwanatha Nagenahalli,1650.0,4.0,0,9900000.0,4.0
3428,Bellandur,1286.0,2.0,2,5700000.0,2.0
3429,KR Garden,925.0,2.0,2,6300000.0,2.0
3430,Bellandur,3016.0,4.0,3,23000000.0,4.0
3431,Haralur Road,1000.0,2.0,2,4400000.0,2.0
3432,Whitefield,1215.0,2.0,2,3900000.0,2.0
3433,Kanakadasa Layout,1200.0,3.0,1,9500000.0,4.0
3434,Lakshminarayana Pura,1336.0,2.0,2,10000000.0,2.0
3435,Yeshwanthpur,673.0,1.0,1,3685000.0,1.0
3436,Anandapura,1200.0,2.0,1,5800000.0,2.0
3437,Lingarajapuram,600.0,7.0,2,6300000.0,6.0
3438,Malleshwaram,1600.0,3.0,3,16000000.0,3.0
3439,Mallathahalli,1200.0,2.0,0,7900000.0,2.0
3440,Indira Nagar,2480.0,4.0,1,75000000.0,6.0
3441,Jayamahal Extension,2500.0,3.0,1,27000000.0,3.0
3442,Devanahalli,2400.0,5.0,3,10000000.0,5.0
3443,Sector 2 HSR Layout,1143.0,2.0,2,6500000.0,2.0
3444,Kanakpura Road,1470.0,2.0,2,6174000.0,2.0
3445,Laxminarayana Layout,1584.0,3.0,2,14500000.0,4.0
3446,Marathahalli,1785.0,3.0,2,9400000.0,3.0
3447,Koramangala,2292.0,3.0,2,28600000.0,3.0
3448,Kothanur,1460.0,3.0,3,7100000.0,3.0
3449,Kasturi Nagar,1500.0,2.0,3,8000000.0,3.0
3450,Yelahanka,1200.0,4.0,1,14000000.0,5.0
3451,Sanjay nagar,3300.0,3.0,1,25000000.0,5.0
3452,Chikkalasandra,1230.0,2.0,2,4800000.0,2.0
3453,Yelahanka New Town,650.0,1.0,1,2000000.0,1.0
3454,Benson Town,1480.0,2.0,1,12000000.0,2.0
3455,Thanisandra,1220.0,2.0,1,4392000.0,2.0
3456,Dooravani Nagar,1570.0,3.0,1,11500000.0,3.0
3457,Sadashiva Nagar,3000.0,3.0,3,40000000.0,3.0
3458,Mallasandra,1665.0,3.0,2,8691000.0,3.0
3459,Banagiri Nagar,1350.0,3.0,1,38000000.0,3.0
3460,Sarjapur  Road,4000.0,5.0,2,60000000.0,4.0
3461,Ramamurthy Nagar,1100.0,2.0,0,6800000.0,2.0
3462,Kathriguppe,1350.0,2.0,1,8701000.0,3.0
3463,Kasavanhalli,1719.0,3.0,2,11600000.0,3.0
3464,Budigere,664.0,1.0,1,3500000.0,1.0
3465,Sonnenahalli,1011.0,2.0,1,5053000.0,2.0
3466,Akshya Nagar,2400.0,6.0,0,13000000.0,6.0
3467,Basaveshwara Nagar Yelahanka,1680.0,3.0,2,8500000.0,3.0
3468,Yeshwanthpur,704.0,2.0,0,4947500.0,2.0
3469,Thyagaraja Nagar,700.0,4.0,2,11000000.0,4.0
3470,Whitefield,1520.0,2.0,2,15000000.0,3.0
3471,Uttarahalli,1350.0,2.0,2,5300000.0,3.0
3472,Kothanur,1760.0,3.0,1,15000000.0,3.0
3473,Pattandur Agrahara,875.0,2.0,1,3300000.0,2.0
3474,Hennur,1231.0,2.0,2,4800000.0,2.0
3475,Somasundara Palya,1174.0,2.0,3,7400000.0,2.0
3476,Munnekollal,1560.0,3.0,3,7500000.0,3.0
3477,HOSUR MAIN ROAD,1464.0,2.0,2,5600000.0,2.0
3478,Kanakpura Road,2200.0,3.0,2,13000000.0,3.0
3479,Shivaji Nagar,850.0,2.0,2,5500000.0,2.0
3480,Sahyadri Layout,1750.0,3.0,1,18000000.0,3.0
3481,1st Phase JP Nagar,2024.0,3.0,1,15700000.0,3.0
3482,Mathikere SBM colony,1500.0,1.0,0,16000000.0,2.0
3483,"white field,kadugodi",2100.0,6.0,1,27500000.0,6.0
3484,Kodihalli,2408.0,4.0,2,26000000.0,3.0
3485,Devanahalli,1080.0,2.0,1,4400000.0,2.0
3486,Indira Nagar,2070.0,3.0,2,22500000.0,3.0
3487,Electronic City,1020.0,2.0,1,2946000.0,2.0
3488,Begur Road,1500.0,2.0,3,5500000.0,3.0
3489,Mahalakshmi Layout,1575.0,5.0,1,15800000.0,4.0
3490,Kodichikkanahalli,3250.0,4.0,1,18000000.0,4.0
3491,Uttarahalli,1175.0,2.0,1,4700000.0,2.0
3492,Channasandra,1030.0,2.0,1,3450000.0,2.0
3493,Hebbal,1440.0,2.0,1,11500000.0,2.0
3494,Hoodi,1500.0,2.0,1,8400000.0,2.0
3495,Thanisandra,1380.0,1.0,1,6210000.0,1.0
3496,Bagalur,1200.0,2.0,3,5000000.0,2.0
3497,Vinayak Nagar,705.0,1.0,2,3650000.0,1.0
3498,Harlur,2240.0,5.0,2,15500000.0,3.0
3499,Hegde Nagar,1584.01,3.0,1,10300000.0,3.0
3500,P Krishnappa Layout,1340.0,3.0,3,7700000.0,3.0
3501,Green Garden Layout,1800.0,3.0,2,7000000.0,3.0
3502,R.T. Nagar,1200.0,2.0,3,4500000.0,2.0
3503,Sarjapur  Road,685.0,1.0,1,4000000.0,1.0
3504,Kalkere,925.0,2.0,3,4200000.0,2.0
3505,Crimson Layout,1230.0,2.0,2,5700000.0,2.0
3506,Manjunath Nagar,1200.0,5.0,1,18500000.0,5.0
3507,Kodichikkanahalli,1125.0,2.0,1,5200000.0,2.0
3508,Hebbal,1100.0,2.0,1,5400000.0,2.0
3509,Jigani,2400.0,3.0,2,14900000.0,3.0
3510,Electronic City Phase II,1400.0,2.0,2,4158000.0,3.0
3511,Uttarahalli,1200.0,7.0,2,22500000.0,7.0
3512,Jakkur,1858.0,3.0,1,9830000.0,3.0
3513,Adityanagar,1260.0,1.0,1,4100000.0,1.0
3514,Ambedkar Nagar,3530.0,4.0,2,29000000.0,4.0
3515,HSR Layout,1185.0,2.0,2,6000000.0,2.0
3516,RMV 2nd Stage,1200.0,2.0,1,21600000.0,2.0
3517,Hennur,1255.0,2.0,1,5800000.0,2.0
3518,Rajaji Nagar,3436.0,6.0,3,47500000.0,4.0
3519,Kudlu Gate,1335.0,3.0,2,8900000.0,3.0
3520,Dodda Nekkundi,1999.0,3.0,2,13200000.0,3.0
3521,Kanaka Nagar,1200.0,2.0,1,12500000.0,2.0
3522,Kundalahalli,1397.0,3.0,2,11000000.0,3.0
3523,Jigani,1200.0,1.0,1,10500000.0,1.0
3524,Cooke Town,3950.0,4.0,1,45000000.0,4.0
3525,Yelahanka New Town,1200.0,2.0,1,13000000.0,2.0
3526,Chikka Tirupathi,1616.0,3.0,0,9500000.0,3.0
3527,Banashankari Stage III,1200.0,7.0,2,35000000.0,8.0
3528,Hanumantha Nagar,1270.0,2.0,1,17500000.0,4.0
3529,Raja Rajeshwari Nagar,1140.0,2.0,2,3854999.9999999995,2.0
3530,Kanakpura Road,525.0,1.0,1,3000000.0,1.0
3531,Varthur,1200.0,2.0,1,9800000.0,3.0
3532,Bagalakunte,700.0,1.0,1,16200000.0,1.0
3533,Balagere,1205.47,2.0,1,8100000.0,2.0
3534,T Dasarahalli,1200.0,3.0,2,13000000.0,3.0
3535,Electronic City,1700.0,3.0,2,7500000.0,3.0
3536,Thanisandra,750.0,4.0,0,6200000.0,5.0
3537,Kanakpura Road,1090.0,2.0,1,5454000.0,2.0
3538,Yeshwanthpur,3600.0,5.0,1,22000000.0,4.0
3539,Kundalahalli,2400.0,1.0,0,65000000.0,1.0
3540,Thanisandra,923.0,1.0,1,6084000.0,1.0
3541,Muthurayya Swamy Layout,3595.0,6.0,2,36000000.0,4.0
3542,Green Glen Layout,1050.0,2.0,2,4800000.0,2.0
3543,Whitefield,1495.0,2.0,2,7950000.0,2.0
3544,Hennur Road,1482.0,2.6926096474673513,1,9386500.0,3.0
3545,Narayanapura,1485.0,3.0,2,8500000.0,3.0
3546,Dommasandra,1033.0,2.0,2,3150000.0,3.0
3547,Electronic City,1400.0,2.0,1,4800000.0,3.0
3548,Indira Nagar,500.0,1.0,0,7000000.0,1.0
3549,Sarjapur  Road,944.0,2.0,1,3500000.0,2.0
3550,Whitefield,3250.0,5.0,0,29000000.0,5.0
3551,Whitefield,1216.0,2.0,1,6648000.0,2.0
3552,Thirumenahalli,1100.0,2.0,1,3950000.0,2.0
3553,Thanisandra,1743.0,3.0,2,9325000.0,3.0
3554,Yelahanka,1274.0,2.0,2,4842000.0,2.0
3555,Lavelle Road,2500.0,3.0,2,42500000.0,3.0
3556,Mysore Road,1512.0,2.0,2,11000000.0,3.0
3557,Dollars Colony,3100.0,5.0,1,38500000.0,4.0
3558,Cox Town,1650.0,3.0,3,10000000.0,3.0
3559,Doddathoguru,1875.0,3.0,1,5500000.0,3.0
3560,Whitefield,1350.0,3.0,2,5400000.0,3.0
3561,Rajiv Gandhi Nagar,1219.0,2.0,2,4000000.0,2.0
3562,Goraguntepalya,1200.0,4.0,1,15000000.0,4.0
3563,Sarjapura - Attibele Road,2400.0,3.0,3,8500000.0,3.0
3564,Hormavu,1141.0,2.0,1,4440000.0,2.0
3565,Anandapura,1151.0,2.0,1,4310000.0,2.0
3566,Bommenahalli,832.0,3.0,1,7700000.0,3.0
3567,Sarjapur  Road,915.0,2.0,1,3800000.0,2.0
3568,Rajankunte,3259.0,3.0,0,27000000.0,3.0
3569,Bannerghatta Road,1115.0,2.0,1,6512000.0,2.0
3570,Thigalarapalya,2072.0,4.0,2,13900000.0,3.0
3571,Kaggadasapura,1200.0,2.0,2,5300000.0,2.0
3572,Singasandra,1300.0,2.0,2,6500000.0,2.0
3573,Bellandur,1457.0,2.0,2,8500000.0,2.0
3574,Kannamangala,1262.0,2.0,2,5500000.0,2.0
3575,BEML Layout,1196.0,3.0,1,15000000.0,4.0
3576,Ananth Nagar,900.0,2.0,2,2250000.0,2.0
3577,Attibele,420.0,1.0,1,1700000.0,1.0
3578,Kanakapura,1160.0,2.0,1,4639000.0,2.0
3579,Kasavanhalli,1115.0,2.0,2,5000000.0,2.0
3580,JP Nagar,1315.0,2.0,1,8540000.0,3.0
3581,Babusapalaya,1500.0,2.0,2,5700000.0,2.0
3582,HSR Layout,1127.0,2.0,1,6800000.0,2.0
3583,Kundalahalli,1397.0,3.0,2,10400000.0,3.0
3584,Whitefield,1173.0,2.0,1,6000000.0,2.0
3585,Sompura,1090.0,2.0,2,2800000.0,2.0
3586,Sarjapur  Road,2720.0,5.0,1,21000000.0,3.0
3587,Jakkur,1230.0,2.0,1,7600000.0,2.0
3588,6th Block Rajaji Nagar,3200.0,3.0,3,19000000.0,4.0
3589,Sarjapur  Road,858.0,2.0,1,3157000.0,2.0
3590,Talaghattapura,1868.0,3.0,1,12100000.0,3.0
3591,Uttarahalli,1689.28,3.0,2,9120000.0,3.0
3592,Vishwapriya Layout,600.0,3.0,2,7300000.0,4.0
3593,Banashankari,1425.0,3.0,3,4988000.0,3.0
3594,Subramanyapura,1200.0,6.0,2,17000000.0,6.0
3595,Tindlu,1350.0,2.0,1,10000000.0,2.0
3596,Channasandra,4200.0,6.0,0,18000000.0,6.0
3597,Uttarahalli,1310.0,2.0,1,8500000.0,3.0
3598,Haralur Road,2805.0,2.6926096474673513,1,17500000.0,4.0
3599,MLA Layout,970.0,2.0,1,4000000.0,2.0
3600,Kundalahalli,1397.0,3.0,3,10800000.0,3.0
3601,Sarjapur,1157.0,2.0,1,4000000.0,2.0
3602,Kasavanhalli,1125.0,2.0,1,6120000.0,2.0
3603,Sonnenahalli,1157.0,2.0,1,4200000.0,2.0
3604,Sarjapur  Road,1241.0,2.0,1,8200000.0,2.0
3605,Binny Pete,660.0,1.0,1,6200000.0,1.0
3606,Marathahalli,4000.0,4.0,3,22000000.0,4.0
3607,Rajiv Nagar,2340.0,4.0,1,14800000.0,4.0
3608,Venkatadri Layout,596.0,1.0,1,4200000.0,1.0
3609,Koramangala Industrial Layout,10000.0,1.6,1,55000000.0,1.6
3610,Kyalasanahalli,1200.0,4.0,3,11000000.0,4.0
3611,Ambedkar Colony,1910.0,3.0,1,19000000.0,3.0
3612,Brookefield,1139.0,2.0,2,8000000.0,2.0
3613,Thigalarapalya,3122.0,5.0,2,22500000.0,4.0
3614,Sarjapura - Attibele Road,1033.0,2.0,2,2841000.0,2.0
3615,Yeshwanthpur,1168.0,2.0,2,6408000.0,2.0
3616,Chandapura,877.0,2.0,3,4200000.0,2.0
3617,Electronics City Phase 1,1340.0,2.0,2,7500000.0,2.0
3618,B Narayanapura,1405.0,2.0,2,7000000.0,3.0
3619,Siddapura,1800.0,3.0,3,6500000.0,3.0
3620,Devarabeesana Halli,1750.0,3.0,3,14900000.0,3.0
3621,Motappa Layout,1360.0,2.0,1,6500000.0,3.0
3622,Malleshwaram,675.0,2.0,0,14800000.0,3.0
3623,Byrasandra,985.0,2.0,1,6300000.0,2.0
3624,Victoria Layout,1300.0,2.0,1,12900000.0,2.0
3625,7th Phase JP Nagar,1850.0,3.0,2,15000000.0,3.0
3626,Rustam Bagh Layout,1490.0,2.0,3,8800000.0,3.0
3627,Byagadadhenahalli,620.0,1.0,1,2500000.0,2.0
3628,Hormavu,1130.0,2.0,1,4230000.0,2.0
3629,Yelachenahalli,1080.0,2.0,2,5500000.0,2.0
